type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,combined_features,normalized_title
Movie,Traffic Signal,Madhur Bhandarkar,"Kunal Khemu, Neetu Chandra, Konkona Sen Sharma, Upendra Limaye, Ranvir Shorey, Sudhir Mishra, Nassar Abdulla, Manoj Joshi",India,"December 31, 2019",2007,TV-MA,130 min,"Dramas, Independent Movies, International Movies","four characters coexist at an urban traffic signal, where all manage to make a meager living until events threaten the source of their livelihood.","four characters coexist at an urban traffic signal, where all manage to make a meager living until events threaten the source of their livelihood. Kunal Khemu, Neetu Chandra, Konkona Sen Sharma, Upendra Limaye, Ranvir Shorey, Sudhir Mishra, Nassar Abdulla, Manoj Joshi Madhur Bhandarkar",traffic signal
Movie,Train of the Dead,Sukum Maetawanitch,"Kett Thantup, Savika Chaiyadej, Sura Theerakon, Chaleumpol Tikumpornteerawong, Yarichada Wattanawongsri, Phoomjai Tangsanga, Warot Pitakanonda, Saowaluck Siriaran",Thailand,"July 25, 2018",2007,TV-MA,88 min,"Horror Movies, International Movies",five teenagers on the lam hide out in an empty train. little do they realize that the train is inhabited by ghosts on their way to final judgment.,"five teenagers on the lam hide out in an empty train. little do they realize that the train is inhabited by ghosts on their way to final judgment. Kett Thantup, Savika Chaiyadej, Sura Theerakon, Chaleumpol Tikumpornteerawong, Yarichada Wattanawongsri, Phoomjai Tangsanga, Warot Pitakanonda, Saowaluck Siriaran Sukum Maetawanitch",train of the dead
Movie,Train to Busan,Sang-ho Yeon,"Gong Yoo, Yu-mi Jung, Dong-seok Ma, Soo-an Kim, Woo Shik Choi, Sohee, Eui-sung Kim",South Korea,"March 18, 2017",2016,TV-MA,118 min,"Action & Adventure, Horror Movies, International Movies","as a zombie outbreak sweeps the country, a dad and his daughter take a harrowing train journey in an attempt to reach the only city that's still safe.","as a zombie outbreak sweeps the country, a dad and his daughter take a harrowing train journey in an attempt to reach the only city that's still safe. Gong Yoo, Yu-mi Jung, Dong-seok Ma, Soo-an Kim, Woo Shik Choi, Sohee, Eui-sung Kim Sang-ho Yeon",train to busan
Movie,Trainspotting,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson",United Kingdom,"October 1, 2019",1996,R,94 min,"Comedies, Cult Movies, Dramas","renton and his mates cope with the gritty realities of heroin addiction. but when renton gets clean, he can't get away from his friends' nasty habits.","renton and his mates cope with the gritty realities of heroin addiction. but when renton gets clean, he can't get away from his friends' nasty habits. Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson Danny Boyle",trainspotting
Movie,Traitor,Jeffrey Nachmanoff,"Don Cheadle, Guy Pearce, Saïd Taghmaoui, Neal McDonough, Alyy Khan, Archie Panjabi, Raad Rawi, Jeff Daniels, Lorena Gale, Simon Reynolds, Jonathan Walker, Mozhan Marnò, Tom Barnett, Scali Delpeyrat",United States,"July 1, 2018",2008,PG-13,114 min,"Dramas, Thrillers",an fbi agent assigned to pursue an ex-special ops soldier who joined a terrorist organization begins to question his target's true intentions.,"an fbi agent assigned to pursue an ex-special ops soldier who joined a terrorist organization begins to question his target's true intentions. Don Cheadle, Guy Pearce, Saïd Taghmaoui, Neal McDonough, Alyy Khan, Archie Panjabi, Raad Rawi, Jeff Daniels, Lorena Gale, Simon Reynolds, Jonathan Walker, Mozhan Marnò, Tom Barnett, Scali Delpeyrat Jeffrey Nachmanoff",traitor
Movie,Transcendence,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Paul Bettany, Cillian Murphy, Kate Mara, Cole Hauser, Clifton Collins Jr.","United Kingdom, China, United States","November 1, 2018",2014,PG-13,119 min,"Sci-Fi & Fantasy, Thrillers",two computer scientists work to achieve technological singularity to create a world where computers can transcend the abilities of the human brain.,"two computer scientists work to achieve technological singularity to create a world where computers can transcend the abilities of the human brain. Johnny Depp, Rebecca Hall, Morgan Freeman, Paul Bettany, Cillian Murphy, Kate Mara, Cole Hauser, Clifton Collins Jr. Wally Pfister",transcendence
Movie,Trash,Stephen Daldry,"Wagner Moura, Martin Sheen, Rooney Mara, Selton Mello, José Dumont, Nelson Xavier, Eduardo Luis, Gabriel Weinstein, Rickson Tevez","United Kingdom, Brazil, Germany","January 1, 2019",2014,R,114 min,"Dramas, Independent Movies, Thrillers","three poor brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right.","three poor brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right. Wagner Moura, Martin Sheen, Rooney Mara, Selton Mello, José Dumont, Nelson Xavier, Eduardo Luis, Gabriel Weinstein, Rickson Tevez Stephen Daldry",trash
Movie,Trash Fire,Richard Bates Jr.,"Adrian Grenier, Angela Trimbur, AnnaLynne McCord, Fionnula Flanagan, Matthew Gray Gubler, Ray Santiago, Sally Kirkland, Ezra Buzzington",United States,"February 2, 2017",2016,R,94 min,"Comedies, Dramas, Independent Movies",surprise news that his girlfriend is pregnant sends loutish owen on an ill-advised trip to reconnect with his twisted sister and sadistic grandmother.,"surprise news that his girlfriend is pregnant sends loutish owen on an ill-advised trip to reconnect with his twisted sister and sadistic grandmother. Adrian Grenier, Angela Trimbur, AnnaLynne McCord, Fionnula Flanagan, Matthew Gray Gubler, Ray Santiago, Sally Kirkland, Ezra Buzzington Richard Bates Jr.",trash fire
Movie,Tremors,Ron Underwood,"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire, Robert Jayne, Charlotte Stewart, Tony Genaro, Ariana Richards, Richard Marcus, Victor Wong, Bibi Besch",United States,"January 1, 2020",1990,PG-13,96 min,"Comedies, Cult Movies, Horror Movies","after a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground.","after a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground. Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire, Robert Jayne, Charlotte Stewart, Tony Genaro, Ariana Richards, Richard Marcus, Victor Wong, Bibi Besch Ron Underwood",tremors
Movie,Tremors 2: Aftershocks,S.S. Wilson,"Fred Ward, Chris Gartin, Helen Shaver, Michael Gross, Marcelo Tubert, Marco Hernandez, José Ramón Rosario, Thomas Rosales Jr.",,"January 1, 2020",1995,PG-13,100 min,"Comedies, Horror Movies, Sci-Fi & Fantasy",a rag-tag team of survivalists and scientists battle supersucking desert creatures that are worming their way through the oil fields of mexico.,"a rag-tag team of survivalists and scientists battle supersucking desert creatures that are worming their way through the oil fields of mexico. Fred Ward, Chris Gartin, Helen Shaver, Michael Gross, Marcelo Tubert, Marco Hernandez, José Ramón Rosario, Thomas Rosales Jr. S.S. Wilson",tremors 2: aftershocks
Movie,Tremors 3: Back to Perfection,Brent Maddock,"Michael Gross, Shawn Christian, Susan Chuang, Charlotte Stewart, Ariana Richards, Tony Genaro, Barry Livingston, John Pappas, Jason Hopkins",United States,"January 1, 2020",2001,PG,104 min,"Comedies, Horror Movies, Sci-Fi & Fantasy","when a theme park's simulated giant worm attacks turn real, burt gummer and two young entrepreneurs team up to battle the flesh-eating graboids.","when a theme park's simulated giant worm attacks turn real, burt gummer and two young entrepreneurs team up to battle the flesh-eating graboids. Michael Gross, Shawn Christian, Susan Chuang, Charlotte Stewart, Ariana Richards, Tony Genaro, Barry Livingston, John Pappas, Jason Hopkins Brent Maddock",tremors 3: back to perfection
Movie,Tremors 4: The Legend Begins,S.S. Wilson,"Michael Gross, Sara Botsford, Billy Drago, Brent Roam, August Schellenberg, J.E. Freeman, Ming Lo, Lydia Look, Sam Ly, Neil Kopit",United States,"January 1, 2020",2004,PG-13,101 min,"Comedies, Horror Movies, Sci-Fi & Fantasy","residents of a abandoned mining town attempt to get to the bottom of a series of recent, mysterious deaths before their own fates are sealed.","residents of a abandoned mining town attempt to get to the bottom of a series of recent, mysterious deaths before their own fates are sealed. Michael Gross, Sara Botsford, Billy Drago, Brent Roam, August Schellenberg, J.E. Freeman, Ming Lo, Lydia Look, Sam Ly, Neil Kopit S.S. Wilson",tremors 4: the legend begins
Movie,Tremors 5:  Bloodline,Don Michael Paul,"Michael Gross, Jamie Kennedy, Ernest Ndhlovu, Lawrence Joffe, Zak Hendrikz, Natalie Becker, Emmanuel Castis, Brandon Auret, Daniel Janks","South Africa, United States","January 1, 2020",2015,PG-13,99 min,"Comedies, Horror Movies, Sci-Fi & Fantasy","when he is hired to capture a deadly creature terrorizing south africa, survivalist burt gummer brings along a new tech-savvy partner.","when he is hired to capture a deadly creature terrorizing south africa, survivalist burt gummer brings along a new tech-savvy partner. Michael Gross, Jamie Kennedy, Ernest Ndhlovu, Lawrence Joffe, Zak Hendrikz, Natalie Becker, Emmanuel Castis, Brandon Auret, Daniel Janks Don Michael Paul",tremors 5:  bloodline
Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,"Michael Gross, Jamie Kennedy, Tanya van Graan, Jamie-Lee Money, Stephanie Schildknecht, Greg Kriek, Jenna Upton, Jay Anstey, Christie Peruso","United States, South Africa","May 1, 2018",2018,PG-13,98 min,"Action & Adventure, Comedies, Horror Movies","the subterranean, worm-like creatures are back, and graboid-hunter burt gummer suspects they've been weaponized.","the subterranean, worm-like creatures are back, and graboid-hunter burt gummer suspects they've been weaponized. Michael Gross, Jamie Kennedy, Tanya van Graan, Jamie-Lee Money, Stephanie Schildknecht, Greg Kriek, Jenna Upton, Jay Anstey, Christie Peruso Don Michael Paul",tremors 6: a cold day in hell
Movie,Trespass Against Us,Adam Smith,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith, Rory Kinnear, Killian Scott, Sean Harris, Kingsley Ben-Adir, Kacie Anderson, Gerard Kearns",United Kingdom,"February 22, 2019",2016,R,100 min,Dramas,"a man from a criminal family yearns to break away and find a better life, but his father's staunch opposition puts his dreams of freedom in jeopardy.","a man from a criminal family yearns to break away and find a better life, but his father's staunch opposition puts his dreams of freedom in jeopardy. Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith, Rory Kinnear, Killian Scott, Sean Harris, Kingsley Ben-Adir, Kacie Anderson, Gerard Kearns Adam Smith",trespass against us
Movie,"Trikal (Past, Present, Future)",Shyam Benegal,"Leela Naidu, Neena Gupta, Anita Kanwar, Soni Razdan, Dalip Tahil, K.K. Raina, Kunal Kapoor, Keith Stevenson, Naseeruddin Shah, Kulbhushan Kharbanda",India,"December 31, 2019",1985,TV-14,134 min,"Comedies, Dramas, Independent Movies","a goan native returns to his now-derelict, palatial childhood home, recalling his family’s interpersonal drama during the end of portuguese rule.","a goan native returns to his now-derelict, palatial childhood home, recalling his family’s interpersonal drama during the end of portuguese rule. Leela Naidu, Neena Gupta, Anita Kanwar, Soni Razdan, Dalip Tahil, K.K. Raina, Kunal Kapoor, Keith Stevenson, Naseeruddin Shah, Kulbhushan Kharbanda Shyam Benegal","trikal (past, present, future)"
Movie,Trimurti,Mukul Anand,"Anil Kapoor, Shah Rukh Khan, Jackie Shroff, Satyendra Kapoor, Gautami, Tinnu Anand, Saeed Jaffrey, Anirudh Agarwal, Mohan Agashe, Himani Shivpuri, Priya Tendulkar, Anjali Jathar, Anang Desai, Pramod Moutho, Subhash Ghai",India,"March 1, 2018",1995,TV-PG,173 min,"Action & Adventure, Dramas, International Movies","after being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor.","after being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor. Anil Kapoor, Shah Rukh Khan, Jackie Shroff, Satyendra Kapoor, Gautami, Tinnu Anand, Saeed Jaffrey, Anirudh Agarwal, Mohan Agashe, Himani Shivpuri, Priya Tendulkar, Anjali Jathar, Anang Desai, Pramod Moutho, Subhash Ghai Mukul Anand",trimurti
Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,"Manish Chaudhary, Suzanna Mukherjee, Piyush Raina, Rachit Behl, Rohit Chaudhury, Vikram Kochhar, Poonam Pandey",India,"November 1, 2017",2014,TV-MA,113 min,"International Movies, Thrillers","to amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in asia.","to amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in asia. Manish Chaudhary, Suzanna Mukherjee, Piyush Raina, Rachit Behl, Rohit Chaudhury, Vikram Kochhar, Poonam Pandey Jitender Pawar",trip to bhangarh: asia's most haunted place
Movie,Trixie Mattel: Moving Parts,Nicholas Zeig-Owens,Brian Firkus,United States,"March 27, 2020",2019,TV-MA,91 min,"Documentaries, Music & Musicals",drag queen trixie mattel deals with the bittersweet reality of success in this documentary that explores her rise to fame and subsequent music career.,drag queen trixie mattel deals with the bittersweet reality of success in this documentary that explores her rise to fame and subsequent music career. Brian Firkus Nicholas Zeig-Owens,trixie mattel: moving parts
Movie,Troy: The Odyssey,Tekin Girgin,"Dylan Vox, Lara Heller, Hachem Hicham, David Gray, Kelly B. Jones, Daniel Whyte, Eoin O'Brien, Ego Mikitas",United States,"March 12, 2018",2017,TV-MA,90 min,Action & Adventure,"starting with the trojan horse attack, this modest re-telling of homer's epic covers well-known highlights of odysseus's long journey home.","starting with the trojan horse attack, this modest re-telling of homer's epic covers well-known highlights of odysseus's long journey home. Dylan Vox, Lara Heller, Hachem Hicham, David Gray, Kelly B. Jones, Daniel Whyte, Eoin O'Brien, Ego Mikitas Tekin Girgin",troy: the odyssey
Movie,True Grit,Henry Hathaway,"John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey",United States,"January 1, 2020",1969,G,128 min,"Classic Movies, Dramas",teenage tomboy mattie ross enlists the help of crusty lawman rooster cogburn to track down the hired hand who murdered her father.,"teenage tomboy mattie ross enlists the help of crusty lawman rooster cogburn to track down the hired hand who murdered her father. John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey Henry Hathaway",true grit
Movie,True to the Game,Preston A. Whitmore II,"Columbus Short, Erica Peeples, Vivica A. Fox, Andra Fuller, Jamaar Simon, Starletta DuPois, Nelsan Ellis, Draya Michele, Nafessa Williams, Jennifer Freeman, Lisa Renee Pitts",United States,"March 1, 2018",2017,R,108 min,Dramas,"when a drug kingpin looking to go legit falls for a philadelphia college student, it doesn't take long for his dangerous world to bleed into her life.","when a drug kingpin looking to go legit falls for a philadelphia college student, it doesn't take long for his dangerous world to bleed into her life. Columbus Short, Erica Peeples, Vivica A. Fox, Andra Fuller, Jamaar Simon, Starletta DuPois, Nelsan Ellis, Draya Michele, Nafessa Williams, Jennifer Freeman, Lisa Renee Pitts Preston A. Whitmore II",true to the game
Movie,Trumbo,Jay Roach,"Bryan Cranston, Diane Lane, Elle Fanning, John Goodman, Helen Mirren, Louis C.K., Alan Tudyk, Michael Stuhlbarg, Adewale Akinnuoye-Agbaje, Dean O'Gorman",United States,"May 19, 2020",2015,R,124 min,"Dramas, Independent Movies","when he is blacklisted by hollywood for his leftist political views, screenwriter dalton trumbo struggles to find work in secret as a ghost writer.","when he is blacklisted by hollywood for his leftist political views, screenwriter dalton trumbo struggles to find work in secret as a ghost writer. Bryan Cranston, Diane Lane, Elle Fanning, John Goodman, Helen Mirren, Louis C.K., Alan Tudyk, Michael Stuhlbarg, Adewale Akinnuoye-Agbaje, Dean O'Gorman Jay Roach",trumbo
Movie,Tucker and Dale vs. Evil,Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, Philip Granger, Brandon Jay McLaren, Christie Laing, Chelan Simmons, Travis Nelson, Alex Arsenault","Canada, United States, India, United Kingdom","March 29, 2019",2010,R,89 min,"Comedies, Horror Movies, Independent Movies","expecting to relax at their ""vacation"" cabin, two backwoods boys see their trip turn into a nightmare when they're accused of being psychotic killers.","expecting to relax at their ""vacation"" cabin, two backwoods boys see their trip turn into a nightmare when they're accused of being psychotic killers. Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, Philip Granger, Brandon Jay McLaren, Christie Laing, Chelan Simmons, Travis Nelson, Alex Arsenault Eli Craig",tucker and dale vs. evil
Movie,Tukaram,Chandrakant Kulkarni,"Jitendra Joshi, Prateeksha Lonkar, Sharad Ponkshe, Radhika Apte, Veena Jamkar, Yatin Karyekar, Smita Tambe, Vrishasen Dabholkar",India,"February 15, 2018",2012,TV-PG,162 min,"Dramas, Faith & Spirituality, International Movies",a child whose innocence and devotion set him apart from the other children of his village grows up to be one of the foremost saints of india.,"a child whose innocence and devotion set him apart from the other children of his village grows up to be one of the foremost saints of india. Jitendra Joshi, Prateeksha Lonkar, Sharad Ponkshe, Radhika Apte, Veena Jamkar, Yatin Karyekar, Smita Tambe, Vrishasen Dabholkar Chandrakant Kulkarni",tukaram
Movie,Tunisian Victory,"Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",Burgess Meredith,"United States, United Kingdom","March 31, 2017",1944,TV-14,76 min,"Classic Movies, Documentaries","british and american troops join forces to liberate a nazi stranglehold in north africa, sharing battles, hard work and a peaceful christmas dinner.","british and american troops join forces to liberate a nazi stranglehold in north africa, sharing battles, hard work and a peaceful christmas dinner. Burgess Meredith Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",tunisian victory
Movie,Turbo,David Soren,"Ben Schwartz, Bill Hader, Luis Guzmán, Snoop Dogg, Paul Giamatti, Ryan Reynolds, Maya Rudolph, Ken Jeong, Samuel L. Jackson, Michael Peña, Michelle Rodriguez, Richard Jenkins, Kurtwood Smith, Luis Guzman",United States,"September 12, 2019",2013,PG,96 min,"Children & Family Movies, Comedies",a speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.,"a speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed. Ben Schwartz, Bill Hader, Luis Guzmán, Snoop Dogg, Paul Giamatti, Ryan Reynolds, Maya Rudolph, Ken Jeong, Samuel L. Jackson, Michael Peña, Michelle Rodriguez, Richard Jenkins, Kurtwood Smith, Luis Guzman David Soren",turbo
Movie,Tusk,Kevin Smith,"Michael Parks, Justin Long, Haley Joel Osment, Genesis Rodriguez, Johnny Depp, Harley Morenstein, Ralph Garman, Jennifer Schwalbach",United States,"July 24, 2018",2014,R,102 min,Horror Movies,"when a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster.","when a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster. Michael Parks, Justin Long, Haley Joel Osment, Genesis Rodriguez, Johnny Depp, Harley Morenstein, Ralph Garman, Jennifer Schwalbach Kevin Smith",tusk
Movie,Twice,Hidetaka Inazuka,Stuart Varnam-Atkin,"Japan, United States","December 31, 2017",2010,TV-14,53 min,"Documentaries, International Movies","this documentary reenacts the experiences of late activist tsutomu yamaguchi, a survivor of both atomic bombings on japan in 1945.","this documentary reenacts the experiences of late activist tsutomu yamaguchi, a survivor of both atomic bombings on japan in 1945. Stuart Varnam-Atkin Hidetaka Inazuka",twice
Movie,Twinsanity,Buz Wallick,"Karissa Strain, Katie Strain, Yves Bright, Angie Everhart, Thaddeus Shafer, Mary O'Neil",United States,"March 15, 2019",2018,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers","when a yoga enthusiast begins to pull away from her identical twin sister and business partner, their lifelong bond turns deadly.","when a yoga enthusiast begins to pull away from her identical twin sister and business partner, their lifelong bond turns deadly. Karissa Strain, Katie Strain, Yves Bright, Angie Everhart, Thaddeus Shafer, Mary O'Neil Buz Wallick",twinsanity
Movie,Two Graves,Gary Young,"Cathy Tyson, Katie Jarvis, David Hayman, Josh Herdman, Dave Johns, Danielle Harold, Kedar Williams-Stirling, Neal Ward",United Kingdom,"May 1, 2019",2018,TV-MA,80 min,Thrillers,"a doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one.","a doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one. Cathy Tyson, Katie Jarvis, David Hayman, Josh Herdman, Dave Johns, Danielle Harold, Kedar Williams-Stirling, Neal Ward Gary Young",two graves
Movie,Two Lovers and a Bear,Kim Nguyen,"Dane DeHaan, Tatiana Maslany, Gordon Pinsent, John Ralston",Canada,"May 2, 2017",2016,R,95 min,"Dramas, Independent Movies, Romantic Movies",a troubled couple living near the north pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past.,"a troubled couple living near the north pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past. Dane DeHaan, Tatiana Maslany, Gordon Pinsent, John Ralston Kim Nguyen",two lovers and a bear
Movie,Tyson,James Toback,"Mike Tyson, Trevor Berbick","United States, France","March 1, 2019",2008,R,90 min,"Documentaries, Sports Movies","in this surprisingly emotional documentary, heavyweight champ mike tyson analyzes the controversies surrounding his career and turbulent private life.","in this surprisingly emotional documentary, heavyweight champ mike tyson analyzes the controversies surrounding his career and turbulent private life. Mike Tyson, Trevor Berbick James Toback",tyson
Movie,Ugly,Anurag Kashyap,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh, Surveen Chawla, Siddhant Kapoor, Girish Kulkarni, Abir Goswami, Madhavi Singh, Anshikaa Shrivastava, Murari Kumar, Sandesh Jadhav",India,"March 1, 2017",2013,NR,125 min,"Dramas, International Movies, Thrillers","when a 10-year-old goes missing while her father, an actor, is out on an audition, the girl's stepfather – mumbai's police chief – leads the search.","when a 10-year-old goes missing while her father, an actor, is out on an audition, the girl's stepfather – mumbai's police chief – leads the search. Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh, Surveen Chawla, Siddhant Kapoor, Girish Kulkarni, Abir Goswami, Madhavi Singh, Anshikaa Shrivastava, Murari Kumar, Sandesh Jadhav Anurag Kashyap",ugly
Movie,Una,Benedict Andrews,"Rooney Mara, Ben Mendelsohn, Riz Ahmed, Ruby Stokes, Natasha Little, Tara Fitzgerald, Tobias Menzies","United Kingdom, Canada, United States","April 1, 2018",2016,R,94 min,"Dramas, International Movies","a young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier.","a young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier. Rooney Mara, Ben Mendelsohn, Riz Ahmed, Ruby Stokes, Natasha Little, Tara Fitzgerald, Tobias Menzies Benedict Andrews",una
Movie,Unaccompanied Minors,Paul Feig,"Lewis Black, Wilmer Valderrama, Tyler James Williams, Gia Mantegna, Dyllan Christopher, Brett Kelly, Quinn Shephard, Paget Brewster, Rob Corddry, Dominique Saldaña",United States,"October 1, 2019",2006,PG,90 min,"Children & Family Movies, Comedies","five disparate kids, snowed in at the airport on christmas eve, try to get back to their families and outsmart a disgruntled airport official.","five disparate kids, snowed in at the airport on christmas eve, try to get back to their families and outsmart a disgruntled airport official. Lewis Black, Wilmer Valderrama, Tyler James Williams, Gia Mantegna, Dyllan Christopher, Brett Kelly, Quinn Shephard, Paget Brewster, Rob Corddry, Dominique Saldaña Paul Feig",unaccompanied minors
Movie,Under an Arctic Sky,Chris Burkard,"Chris Burkard, Sam Hammer, Heidar Logi, Elli Thor Magnusson, Ingo Olsen, Timmy Reyes, Justin Quintal, Steve Hawk, Sigurdur Jonsson, Mark Renneker",United States,"December 15, 2017",2017,TV-14,40 min,"Action & Adventure, Documentaries, Sports Movies","six fearless surfers travel to the north coast of iceland to ride waves unlike anything they've ever experienced, captured with high-tech cameras.","six fearless surfers travel to the north coast of iceland to ride waves unlike anything they've ever experienced, captured with high-tech cameras. Chris Burkard, Sam Hammer, Heidar Logi, Elli Thor Magnusson, Ingo Olsen, Timmy Reyes, Justin Quintal, Steve Hawk, Sigurdur Jonsson, Mark Renneker Chris Burkard",under an arctic sky
Movie,Under The Skin,Jonathan Glazer,"Scarlett Johansson, Krystof Hádek, Jeremy McWilliams, Joe Szula, Lynsey Taylor Mackay, Dougie McConnell, Kevin McAlinden, Andrew Gorman, Roy Armstrong, Alison Chand, Paul Brannigan","Switzerland, United Kingdom, United States","July 15, 2018",2013,R,108 min,"Dramas, Independent Movies, International Movies","a seductive alien prowls the streets in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.","a seductive alien prowls the streets in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool. Scarlett Johansson, Krystof Hádek, Jeremy McWilliams, Joe Szula, Lynsey Taylor Mackay, Dougie McConnell, Kevin McAlinden, Andrew Gorman, Roy Armstrong, Alison Chand, Paul Brannigan Jonathan Glazer",under the skin
Movie,Undercover Grandpa,Erik Canuel,"James Caan, Jessica Walter, Louis Gossett Jr., Dylan Everett, Paul Sorvino, Kenneth Welsh, Lawrence Dane, Paul Braunstein, Greta Onieogou",Canada,"November 1, 2017",2016,PG-13,94 min,"Action & Adventure, Children & Family Movies, Comedies","jake's date with his dream girl takes a turn when she disappears, and jake's grandpa – a former intelligence officer – sets out to find her.","jake's date with his dream girl takes a turn when she disappears, and jake's grandpa – a former intelligence officer – sets out to find her. James Caan, Jessica Walter, Louis Gossett Jr., Dylan Everett, Paul Sorvino, Kenneth Welsh, Lawrence Dane, Paul Braunstein, Greta Onieogou Erik Canuel",undercover grandpa
Movie,Unfinished Song,Paul Andrew Williams,"Terence Stamp, Gemma Arterton, Christopher Eccleston, Vanessa Redgrave, Anne Reid, Elizabeth Counsell, Ram John Holder, Bill Thomas, Orla Hill","United Kingdom, Germany","July 22, 2019",2012,PG-13,94 min,"Comedies, Dramas, Independent Movies","with his wife terminally ill, arthur's future seems grim. but he learns to find joy in life again when he joins an unconventional church choir.","with his wife terminally ill, arthur's future seems grim. but he learns to find joy in life again when he joins an unconventional church choir. Terence Stamp, Gemma Arterton, Christopher Eccleston, Vanessa Redgrave, Anne Reid, Elizabeth Counsell, Ram John Holder, Bill Thomas, Orla Hill Paul Andrew Williams",unfinished song
Movie,Union Leader,Sanjay Patel,"Rahul Bhat, Tillotama Shome, Haresh Dagiya, Jayesh More, Tirth Sharma, Vivek Ghamande, Jay Vithlani, Mehul Buch","Canada, India","December 31, 2019",2017,TV-14,105 min,"Dramas, Independent Movies, International Movies",toxic conditions and a corrupt union leader prompt a chemical plant worker and earnest family man to fight for justice for his fellow laborers.,"toxic conditions and a corrupt union leader prompt a chemical plant worker and earnest family man to fight for justice for his fellow laborers. Rahul Bhat, Tillotama Shome, Haresh Dagiya, Jayesh More, Tirth Sharma, Vivek Ghamande, Jay Vithlani, Mehul Buch Sanjay Patel",union leader
Movie,Unruly Friends,Sherif Mandour,"Kinda Allouch, Ahmed Salah Al-Saadany, Dina Fouad, Amr Youssef, Ahmed Safwat, Madlyn Tabar, Yasser Ali Maher, Nadia Fahmi, Menha Zaytoon, Tamim Abdou, Mostafa Abd Elsalam",Egypt,"June 20, 2019",2011,TV-14,83 min,"International Movies, Thrillers",a young woman discovers that familial and psychological traumas can be difficult to leave behind.,"a young woman discovers that familial and psychological traumas can be difficult to leave behind. Kinda Allouch, Ahmed Salah Al-Saadany, Dina Fouad, Amr Youssef, Ahmed Safwat, Madlyn Tabar, Yasser Ali Maher, Nadia Fahmi, Menha Zaytoon, Tamim Abdou, Mostafa Abd Elsalam Sherif Mandour",unruly friends
